Number,Date,Vessel,Incident,Flag,Iranian attack?,Location ,Source1,Source 2,,,,
35,10-Mar-21,Shahr e Kord,explosions/sabotage,Iran,No,Mediterranean,https://www.aljazeera.com/news/2021/3/12/iranian-ship-hit-in-attack-in-mediterranean-company-says,,,,,
36,25-Mar-21,Lori ,explosions/sabotage,Liberia,Yes,Arabian Sea,https://www.spglobal.com/platts/en/market-insights/latest-news/shipping/032521-israeli-owned-container-ship-lori-attacked-in-the-arabian-sea-source,,,,,
37,6-Apr-21,Savis,explosions/sabotage,Iran,No,Red Sea,https://www.bbc.com/news/world-middle-east-56661069 ,,,,,
38,13-Apr-21,Hyperion Ray,explosions/sabotage,Bahamas,Yes,Gulf of Oman,Lloyd,,,,,
39,24-Apr-21,Wisdom,explosions/sabotage,Panama,No,Easter Mediterraanean,Lloyd,,,,,
40,27-Apr-21,NCC Dammam,explosions/sabotage,Saudi Arabia,Yes,Red Sea,Lloyd,,,,,
41,3-Jul-21,CSAV Tyndall,explosions/sabotage,Liberia,Yes,Indian Ocean,Lloyd,,,,,
42,29-Jul-21,Mercer Street,explosions/sabotage,Liberia,Yes,Arabian Sea,https://www.euronews.com/2021/07/30/mercer-street-two-europeans-killed-in-incident-on-board-oil-tanker-off-oman-coast,,,,,
43,24-Oct-21,MV Sothys,seizure,Vietnam,Yes,Gulf of Oman  ,Lloyd,,,,,
44,Exact date unknown - Nov 21,Nostos ,seizure,Liberia,No,Turkey (unconfirmed),https://apnews.com/article/russia-ukraine-putin-business-iran-bahamas-c0577bf7718055d730a3b72802c132c2,,,,,
45,Exact date unknown - Jan 22,Arina ,seizure,Panama,No,Turkey (unconfirmed),https://apnews.com/article/russia-ukraine-putin-business-iran-bahamas-c0577bf7718055d730a3b72802c132c2,,,,,
46,15-Apr-22,Lana,seizure,Iran,No,Mediterranean,https://www.reuters.com/world/europe/us-seizes-iranian-oil-cargo-near-greek-island-sources-2022-05-26/,,,,,
47,27-May-22,Prudent,seizure,Greece,Yes,Persian Gulf,Lloyd,,,,,
48,27-May-22,Delta Poseidon,seizure,Greece,Yes,Persian Gulf,Lloyd,,,,,
49,15-Nov-22,Pacific Zircon,explosions/sabotage,Liberia,Yes,Gulf of Oman,Lloyd,,,,,
50,10-Feb-23,Campo Square,explosions/sabotage,Liberia,Yes,Arabian Sea,Lloyd,,,,,
51,Unknown,Suez Rajan,seizure,Marshall Islands,No,Indian Ocean ,FT,,,,,
52,27-Apr-23,Advantage Sweet,seizure,Marshall Islands,Yes,Gulf of Oman ,US Fifth Fleet,,,,,
53,3-May-23,Niovi,seizure,Panama,Yes,Strait of Hormuz,US Fifth Fleet,,,,,
